DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
3/6/15,TSLA,TESLA MOTORS INC,192.151,200.75,193.88,6712948,-0.033644,193.83,193.87,125763,199.21001,52678,-0.033644
3/9/15,TSLA,TESLA MOTORS INC,188.25,194.49001,190.88,6739480,-0.015473,190.8,190.88,125763,194.39,51238,-0.015473
3/10/15,TSLA,TESLA MOTORS INC,187.60001,193.5,190.32001,5579691,-0.002934,190.21001,190.3,125763,188.46001,39783,-0.002934
3/11/15,TSLA,TESLA MOTORS INC,191.00999,196.17999,193.74001,4974871,0.01797,193.74001,193.82001,125763,191.14999,34306,0.01797
3/12/15,TSLA,TESLA MOTORS INC,189.75,194.45,191.07001,4149294,-0.013781,191.09,191.14999,125763,193.75,32073,-0.013781
3/13/15,TSLA,TESLA MOTORS INC,187.32001,191.75,188.67999,5432298,-0.012509,188.61,188.67,125763,188.95,41381,-0.012509
3/16/15,TSLA,TESLA MOTORS INC,189.8,195.91,195.7,5628783,0.037206,195.69,195.71001,125763,192,43880,0.037206
3/17/15,TSLA,TESLA MOTORS INC,193.94,198.71001,194.73,4894052,-0.004957,194.72,194.73,125763,195.42999,37221,-0.004957
3/18/15,TSLA,TESLA MOTORS INC,193.11,200.88,200.71001,4820936,0.030709,200.71001,200.72,125763,194.96001,38133,0.030709
3/19/15,TSLA,TESLA MOTORS INC,194.53,204.59,195.64999,8465044,-0.025211,195.53999,195.66,125763,202,61555,-0.025211
3/20/15,TSLA,TESLA MOTORS INC,195.621,198.99001,198.08,4274067,0.01242,198.03999,198.08,125763,197.45,34255,0.01242
3/23/15,TSLA,TESLA MOTORS INC,197.47,200.5,199.63,2630326,0.007825,199.63,199.64,125763,198.5,22448,0.007825
3/24/15,TSLA,TESLA MOTORS INC,199.75,203.78999,201.72,3649860,0.010469,201.7,201.74001,125763,201.58,29380,0.010469
3/25/15,TSLA,TESLA MOTORS INC,192.7,198.59,194.3,5724059,-0.036784,194.25999,194.31,125763,198.27,51915,-0.036784
3/26/15,TSLA,TESLA MOTORS INC,189.7,194.78999,190.405,4127956,-0.020046,190.39999,190.41,125763,193.92,33732,-0.020046
3/27/15,TSLA,TESLA MOTORS INC,181.39999,189.2899,185,8604947,-0.028387,184.97,185,125763,189.07001,70160,-0.028387
3/30/15,TSLA,TESLA MOTORS INC,181.8,192.25,190.57001,10089516,0.030108,190.56,190.60001,125763,185.85001,76954,0.030108
3/31/15,TSLA,TESLA MOTORS INC,188.41,193.75999,188.77,5026569,-0.009445,188.77,188.82001,126362,193.53,38323,-0.009445
4/1/15,TSLA,TESLA MOTORS INC,186.05,192.3,187.59,3794621,-0.006251,187.5,187.60001,126362,188.7,29394,-0.006251
4/2/15,TSLA,TESLA MOTORS INC,190,193.23,191,5008468,0.018178,190.95,191.00999,126362,190.23,34325,0.018178
4/6/15,TSLA,TESLA MOTORS INC,197.5,207.75,203.10001,12453911,0.063351,203.09,203.16,126362,198,87543,0.063351
4/7/15,TSLA,TESLA MOTORS INC,201.14,205.06,203.25,4347864,0.000739,203.24001,203.25,126362,202.50999,34634,0.000739
4/8/15,TSLA,TESLA MOTORS INC,205.87,210.89999,207.67,6300017,0.021747,207.67,207.67999,126362,208.2,47591,0.021747
4/9/15,TSLA,TESLA MOTORS INC,206.12,210.37,210.09,3800125,0.011653,210.09,210.16,126362,208.42999,29366,0.011653
4/10/15,TSLA,TESLA MOTORS INC,209,211.64999,210.89999,4067676,0.003855,210.88,210.89999,126362,209.85001,31400,0.003855
4/13/15,TSLA,TESLA MOTORS INC,209.05,213,209.78,3758230,-0.005311,209.78999,209.84,126362,210.435,29671,-0.005311
4/14/15,TSLA,TESLA MOTORS INC,205.5,209.49001,207.46001,3025963,-0.011059,207.39,207.46001,126362,208.57001,24810,-0.011059
4/15/15,TSLA,TESLA MOTORS INC,206.60001,209.59,207.83,1952378,0.001783,207.82001,207.88,126362,207.46001,17148,0.001783
4/16/15,TSLA,TESLA MOTORS INC,206.28999,209.17,206.7,1659059,-0.005437,206.64999,206.7,126362,207.7,14088,-0.005437
4/17/15,TSLA,TESLA MOTORS INC,203.5,206.88,206.78999,2469926,0.000435,206.74001,206.8,126362,204.99001,21741,0.000435
4/20/15,TSLA,TESLA MOTORS INC,203.85001,207.85001,205.27,2559251,-0.00735,205.24001,205.3,126362,206.78,22227,-0.00735
4/21/15,TSLA,TESLA MOTORS INC,204.31,210.75,209.41,3432541,0.020169,209.41,209.45,126362,205.8,27489,0.020169
4/22/15,TSLA,TESLA MOTORS INC,211.69,221.88,219.44,7863037,0.047896,219.44,219.45,126362,212.5,61057,0.047896
4/23/15,TSLA,TESLA MOTORS INC,217.1501,221.48,218.60001,4411252,-0.003828,218.59,218.61,126362,218.27,31948,-0.003828
4/24/15,TSLA,TESLA MOTORS INC,218.00999,220.8,218.425,2427943,-0.000801,218.36,218.49001,126362,220.5,21483,-0.000801
4/27/15,TSLA,TESLA MOTORS INC,222,238.75,231.55,11672638,0.060089,231.52,231.69,126362,222.56,87166,0.060089
4/28/15,TSLA,TESLA MOTORS INC,228.03,235.5,230.48,6085379,-0.004621,230.38,230.50999,126362,234.75,42898,-0.004621
4/29/15,TSLA,TESLA MOTORS INC,227.63,234.97,232.45,3936077,0.008547,232.45,232.53,126362,230.05,31104,0.008547
4/30/15,TSLA,TESLA MOTORS INC,225.17,232.89,226.05,3911857,-0.027533,226.03,226.06,126404,230.39,34589,-0.027533
5/1/15,TSLA,TESLA MOTORS INC,220.405,231.77,226.03,5281689,-0.000088,225.96001,226.05,126404,229.94,47509,-0.000088
5/4/15,TSLA,TESLA MOTORS INC,227.11,234.73,230.50999,4431566,0.01982,230.5,230.61,126404,228.17999,38207,0.01982
5/5/15,TSLA,TESLA MOTORS INC,229.13,239.5,232.95,5796873,0.010585,232.84,232.92999,126404,237.75999,47826,0.010585
5/6/15,TSLA,TESLA MOTORS INC,228.2,234.47,230.42999,5270133,-0.010818,230.56,231,126404,234.10001,46633,-0.010818
5/7/15,TSLA,TESLA MOTORS INC,220.25,237.48,236.8,9455909,0.027644,236.8,236.82001,126404,221,69587,0.027644
5/8/15,TSLA,TESLA MOTORS INC,233.7,238.4099,236.61,4668236,-0.000802,236.53999,236.77,126404,235.99001,37941,-0.000802
5/11/15,TSLA,TESLA MOTORS INC,235.31,242.88,239.49001,5672262,0.012172,239.49001,239.50999,126404,236.28999,45338,0.012172
5/12/15,TSLA,TESLA MOTORS INC,238.19,246.35001,244.74001,6363429,0.021922,244.67,244.75,126404,240.11,50456,0.021922
5/13/15,TSLA,TESLA MOTORS INC,242.25,248.3,243.17999,5440165,-0.006374,243.11,243.17999,126404,247.61,39905,-0.006374
5/14/15,TSLA,TESLA MOTORS INC,241.25,244.89,244.10001,2895936,0.003783,244.00999,244.10001,126404,244.82001,24585,0.003783
5/15/15,TSLA,TESLA MOTORS INC,242.5,249.39999,248.84,4527663,0.019418,248.86,248.92,126404,243.92999,37267,0.019418
5/18/15,TSLA,TESLA MOTORS INC,246,249.89999,248.75,3353215,-0.000362,248.71001,248.75999,126404,247,28730,-0.000362
5/19/15,TSLA,TESLA MOTORS INC,246.14999,251,247.14,3674231,-0.006472,247.03999,247.14999,126404,248.42999,31537,-0.006472
5/20/15,TSLA,TESLA MOTORS INC,241.3721,247.74001,244.35001,3755569,-0.011289,244.13,244.33,126404,247.13,31981,-0.011289
5/21/15,TSLA,TESLA MOTORS INC,242.35741,246.62,245.62,1970643,0.005197,245.53999,245.62,126404,243.03,17875,0.005197
5/22/15,TSLA,TESLA MOTORS INC,245.00999,248.60001,247.73,2223089,0.008591,247.73,247.74001,126404,245.38,18902,0.008591
5/26/15,TSLA,TESLA MOTORS INC,246.5,252,247.455,3498682,-0.00111,247.41,247.5,126404,247.67999,31332,-0.00111
5/27/15,TSLA,TESLA MOTORS INC,245.55,249.5,247.42999,3400900,-0.000101,247.34,247.42999,126404,248.50999,29465,-0.000101
5/28/15,TSLA,TESLA MOTORS INC,245.05,251.8,251.45,3647283,0.016247,251.46001,251.50999,126404,247.03,30379,0.016247
