"date","PRC","AbsSpread","LogAbsSpread","RelSpreadMid","RelSpreadLast","RelLogSpread","LogRelLogSpread","Turnover","TradingVolume","NUMTRD","LR1","FlowRatio","avg_sentiment","headline_count","anomaly_score","rare_event_iforest","lof_score","rare_event_lof","z_sum","liquidity_class"
2024-11-08,321.22,0.0399799999999573,-3.21937594991095,0.000124439741035724,0.000124462984870049,0.000124439741195914,-8.99168896568697,65380087683.8,203536790,2910000,830780522408.274,190256055159858016,0.176217118813652,10,0.593469510728087,TRUE,1.29894309760498,FALSE,24.3326837744727,"High Liquidity"
2024-07-11,241.03,0.139999999999986,-1.96611285637293,0.00058108164197064,0.000580840559266425,0.000581081658320493,-7.45061926310448,52871790046.45,219357715,2480000,599312285511.44,131122039315196000,-0.13237983203164,24,0.593297528529604,TRUE,1.35114405966881,FALSE,10.4099085770139,"High Liquidity"
2020-06-09,940.66998,1.58996999999999,0.463715148129606,0.00169001015986314,0.00169025272816721,0.00169001056210494,-6.38302050030045,10677224174.5168,11350659,248840,1091140094638.12,2656920463586766,0.0461421291141629,6,0.590001493396922,TRUE,1.14274388103592,FALSE,-28.5090403157416,"Low Liquidity"
2020-08-20,2001.82996,2.25,0.810930216216329,0.00112433942248081,0.00112397158847598,0.00112433954092417,-6.79055949045567,41152056888.4812,20557219,775980,647328174992.99,31933173104323672,0.138014143282291,9,0.589695916072643,TRUE,1.17091277268237,FALSE,-19.2949473545601,"Low Liquidity"
2016-02-11,150.47,0.280000000000001,-1.27296567581288,0.00185972369819342,0.00186083604705258,0.00185972423419312,-6.2873270634353,2144252271.08,14250364,112695,46367498917.7627,241646509689361,0.0487716044912747,20,0.586275888200221,TRUE,1.34953701859251,FALSE,-23.4569862205498,"Low Liquidity"
2020-07-17,1500.83997,0.979980000000069,-0.0202231156889641,0.000653102299233635,0.000652954358618307,0.000653102322448973,-7.33377674502314,13977255102.8113,9312955,281400,104902108683073,3933199585931114,0.154343401693189,6,0.585067484233717,TRUE,1.76315659775555,FALSE,4.03471398793085,"High Liquidity"
2020-03-11,634.22998,1.15997000000004,0.148394142714917,0.00183081856665665,0.0018289422395328,0.00183081907804983,-6.3029918286307,8471248748.44508,13356746,247371,488250454039.825,2095541274151608,0.0843274042711568,3,0.580436101531775,TRUE,1.3021162168867,FALSE,-28.1074495015062,"Low Liquidity"
2020-08-31,498.32001,0.23001000000005,-1.46963249274301,0.000461501414927001,0.000461570868888146,0.000461501423117738,-7.68102542034738,58882765589.2256,118162555,2810000,39491002381.309,165460571305723808,0.0229186880573655,14,0.579196271452432,TRUE,1.32158837745963,FALSE,12.2399933407087,"High Liquidity"
2020-07-10,1544.65002,2.10999000000015,0.746683208140324,0.00136479274872225,0.00136599875226114,0.00136479296056802,-6.59675253908892,35915893335.036,23251800,650451,350675442489.999,23361528735667504,0.00568352102826708,15,0.578976008637199,TRUE,1.10053015531687,FALSE,-23.2288173367618,"Low Liquidity"
2024-05-02,180.00999,0.0100100000000225,-4.60417068565276,5.56064787826286e-05,5.56080248658561e-05,5.5606478797543e-05,-9.7972108383606,15992545096.9946,88842542,938916,144076982708855,15015656472289762,0,1,0.553616060081409,FALSE,2.12609816554818,TRUE,29.0979393818187,"High Liquidity"
