"date","PRC","AbsSpread","LogAbsSpread","RelSpreadMid","RelSpreadLast","RelLogSpread","LogRelLogSpread","Turnover","TradingVolume","LR1","avg_sentiment","headline_count","anomaly_score","rare_event_iforest","lof_score","rare_event_lof","z_sum","liquidity_class"
2020-05-01,93.25,0.0599999999999881,-2.81341071676024,0.000643155750884211,0.000643431635388612,0.000643155773054183,-7.34912360326249,1729576848.25,18547741,65117151867.5549,0.262753408525273,9,0.600648159823404,TRUE,1.23325471410262,FALSE,-23.0402836391771,"Low Liquidity"
2021-10-13,161,0.0699999999999932,-2.65926003693288,0.000434634131197375,0.00043478260869561,0.000434634138039236,-7.74100594274543,3663311085,22753485,137097141775.239,0.0760442721968731,38,0.596672422692489,TRUE,1.18051620400813,FALSE,-11.1152344471159,"Low Liquidity"
2020-05-18,90.45,0.0600000000000023,-2.81341071676,0.00066467264872053,0.000663349917081286,0.000664672673190481,-7.31621585925502,2761323990.3,30528734,53500155149.0331,0.0611549737964145,7,0.595338140970426,TRUE,1.32007119406284,FALSE,-22.4764453161132,"Low Liquidity"
2016-06-24,59.6,0.0300000000000011,-3.50655789731994,0.000503482420072185,0.000503355704698006,0.000503482430707969,-7.59396174073827,2628879235.2,44108712,36507924823.5257,0.110228717799137,9,0.595072431726137,TRUE,2.00570990869946,TRUE,-10.4262508538562,"Low Liquidity"
2023-04-14,138.73,0.0100100000000225,-4.60417068565276,7.21519417541557e-05,7.21545447994125e-05,7.21519417856697e-05,-9.53673635993025,6094593133.44,43931328,83723104496.0544,0.04800387843296,52,0.594420984639171,TRUE,1.28576880169654,FALSE,20.9093816467774,"High Liquidity"
2024-10-11,222.28999,0.0199899999999786,-3.9125231304709,8.99316198022167e-05,8.99275761359233e-05,8.99316198630373e-05,-9.31646095571217,4072497105.2935,18320650,93745442498.1115,0.108439128390714,60,0.592447329897928,TRUE,1.18284496594965,FALSE,12.6073786640257,"High Liquidity"
2023-10-13,148,0.0499999999999829,-2.99573227355433,0.000337575532525287,0.000337837837837723,0.000337575535731105,-7.99372126311967,4364105452,29487199,292738373565.619,0.0397789207266889,54,0.592144291260301,TRUE,1.07597033296204,FALSE,-1.22032406213095,"Low Liquidity"
2021-06-02,166.06,0.00999999999999091,-4.605170185989,6.01992595490528e-05,6.02191978802295e-05,6.01992595665735e-05,-9.71785050528372,1743392202.08,10498568,28949899202925.8,0,2,0.546848770317193,FALSE,2.11042665307049,TRUE,23.2161910278208,"High Liquidity"
2022-04-25,126.77,0.0499999999999972,-2.99573227355405,0.000394337316140204,0.00039441508243273,0.000394337321250049,-7.83830386964499,2173982659.87,17149031,6890981478979.75,0.116535605696578,2,0.534219006682596,FALSE,2.25579740931153,TRUE,-10.2089889621828,"Low Liquidity"
2016-10-31,69.26,0.00999999999999091,-4.605170185989,0.000144373059986875,0.000144383482529467,0.000144373060237513,-8.8431099123628,992932068.74,14336299,457973188440.424,0.980848757818598,1,0.513870767404288,FALSE,3.19857099087594,TRUE,6.71518032230804,"High Liquidity"
2024-09-20,211.09,0.0100099999999941,-4.6041706856556,4.74261472194032e-05,4.74205315268088e-05,4.74261472280801e-05,-9.95633685207036,4408609161.66,20884974,1523390219008.13,-0.233333333333333,1,0.509253868029017,FALSE,2.1226874438285,TRUE,8.21652182402471,"High Liquidity"
2021-07-12,158,0.00999000000001615,-4.60617068632006,6.3086102015002e-05,6.32278481013681e-05,6.30861020356477e-05,-9.67101006567719,3150577354,19940363,221645742550.787,0.514175525077026,1,0.475351307333741,FALSE,2.03080670048087,TRUE,10.6006029888138,"High Liquidity"
2024-04-15,182.89,0.00999999999999091,-4.605170185989,5.46791699701501e-05,5.46776751052048e-05,5.46791699838067e-05,-9.81402772574446,2700662010.88,14766592,4937396422911.73,-0.00908262981059362,17,0.463310597680538,FALSE,2.10343722972476,TRUE,10.9153176434756,"High Liquidity"
2018-07-20,111.28,0.00999999999999091,-4.605170185989,8.98512961048646e-05,8.98634076203352e-05,8.98512961651221e-05,-9.31735451896094,1511475177.68,13582631,120247684776.65,0.725,1,0.454735113676246,FALSE,2.05936547001666,TRUE,7.56105919415277,"High Liquidity"
2016-02-24,56.14,0.0100000000000051,-4.60517018598758,0.000178173719376483,0.000178126113288299,0.000178173719848296,-8.63275152940195,1434943789.44,25560096,4027169702454.26,0.00414770057786898,13,0.452758095421157,FALSE,2.40063196391344,TRUE,3.6642198409922,"High Liquidity"
2023-05-11,136.05,0.00998999999998773,-4.6061706863229,7.34369858284461e-05,7.34288864387191e-05,7.34369858612638e-05,-9.51908285468841,960142535.85,7057277,304264451344.746,-0.0723079335368143,26,0.451874192320961,FALSE,2.10428772353591,TRUE,3.75458484138768,"High Liquidity"
2017-07-13,93.1,0.00999999999999091,-4.605170185989,0.000107290381417208,0.000107411385606777,0.000107290381519576,-9.13997155335609,1193549820.4,12820084,187740708491.22,-0.601069222740872,1,0.448297624286918,FALSE,2.28056373029333,TRUE,-4.76677223559874,"Low Liquidity"
2017-11-24,98.32,0.00999999999999091,-4.605170185989,0.000101713878858678,0.000101708706265164,0.000101713878946974,-9.19334679473244,361821827.76,3680043,111350569518.05,0,1,0.447100267303255,FALSE,3.06273480972538,TRUE,-2.10863261378253,"Low Liquidity"
2016-11-11,76.69,0.00999999999999091,-4.605170185989,0.000130403599139218,0.000130395097144229,0.000130403599324147,-8.94487630667361,2114674830.87,27574323,4053302890132.73,0,0,0.440655451023562,FALSE,2.19987778376623,TRUE,5.14519802197457,"High Liquidity"
2021-11-03,170.53,0.00999999999999091,-4.605170185989,5.86321128081317e-05,5.86407083797039e-05,5.86321128244194e-05,-9.74422801106199,1432909873.05,8402685,4071852180564.9,0.460817687569033,1,0.435904403688612,FALSE,2.14855916434057,TRUE,9.00520494142077,"High Liquidity"
2022-09-09,119.17,0.0100000000000051,-4.60517018598758,8.38398658562575e-05,8.39137366787372e-05,8.3839865905766e-05,-9.38660193679924,1108546510.76,9302228,231209297315.326,-0.5,1,0.43466919985832,FALSE,1.98563522563831,TRUE,-3.35472070871787,"Low Liquidity"
2015-01-05,60.55,0.00999999999999801,-4.60517018598829,0.000165166405153159,0.000165152766308803,0.000165166405528439,-8.70855707392249,1217089937.35,20100577,38592354496.5723,-0.335410196624968,1,0.41069290685213,FALSE,2.32870946213103,TRUE,-4.15749096648904,"Low Liquidity"
2015-07-21,69.1,0.0100000000000051,-4.60517018598758,0.000144749221973006,0.00014471780028951,0.000144749222225293,-8.84050781475329,805700126.5,11659915,348364436909.576,-0.261083172036426,9,0.400258684757339,FALSE,2.34452035126881,TRUE,-3.17133024606297,"Low Liquidity"
2016-03-21,60.46,0.00999999999999801,-4.60517018598829,0.000165467030694101,0.000165398610651638,0.000165467031071564,-8.70673859101851,766899005.38,12684403,2318719121630.03,0.243142842526614,7,0.39618396293662,FALSE,2.07008515905622,TRUE,1.27918171417585,"High Liquidity"
2023-09-13,146.41,0.00999999999999091,-4.605170185989,6.82850216804323e-05,6.8301345536445e-05,6.82850217064157e-05,-9.59182011695423,1218997068.74,8325914,2549009893373.86,-0.233333333333333,1,0.386554387277019,FALSE,2.16612081958461,TRUE,1.32823373087084,"High Liquidity"
2022-05-06,123.72,0.0100000000000051,-4.60517018598758,8.07721820605397e-05,8.0827675396097e-05,8.07721821045604e-05,-9.42387793259965,1783787784.24,14417942,1104342777118.37,0,0,0.36708994783339,FALSE,2.41015705156222,TRUE,3.10271720720243,"High Liquidity"
